project_id,project_name,basin_id,country,country_iso3,intervention_type,ecosystem_type,societal_challenge,primary_impact,stage,status,implementing_partner,hectares,estimated_cost_usd,evidence_level,summary
WWF-NBS-001,Water Rights & Governance Strengthening — Chile,BSN-2126,Chile,CHL,watershed_governance_program,oasis,inclusive_governance,stakeholder_alignment,proposed,active,River Basin Authority,5166,2451175,low,NbS intervention focused on stakeholder alignment to support inclusive governance outcomes in basin BSN-2126.
WWF-NBS-002,Low-Till & Cover Crops Initiative — USA,BSN-2459,USA,USA,regenerative_agriculture,forest,ecosystem_degradation,soil_health,proposed,active,River Basin Authority,9424,2340495,medium,NbS intervention focused on soil health to support ecosystem degradation outcomes in basin BSN-2459.
WWF-NBS-003,Wetland Treatment System — Canada,BSN-1860,Canada,CAN,constructed_wetlands,river,water_security,pollutant_removal,proposed,active,River Basin Authority,1264,2081672,low,NbS intervention focused on pollutant removal to support water security outcomes in basin BSN-1860.
WWF-NBS-004,Slope Stabilization Terracing — Chile,BSN-2294,Chile,CHL,terracing_contour_farming,river,food_security,soil_retention,proposed,active,Local NGO,4280,990178,medium,NbS intervention focused on soil retention to support food security outcomes in basin BSN-2294.
WWF-NBS-005,Watershed Governance & Coordination — Canada,BSN-2130,Canada,CAN,watershed_governance_program,forest,inclusive_governance,stakeholder_alignment,scaling,active,Local NGO,8953,2472019,high,NbS intervention focused on stakeholder alignment to support inclusive governance outcomes in basin BSN-2130.
WWF-NBS-006,Stakeholder Water Stewardship Platform — Australia,BSN-2095,Australia,,watershed_governance_program,river,inclusive_governance,stakeholder_alignment,pilot,planned,University Consortium,3917,1231126,high,NbS intervention focused on stakeholder alignment to support inclusive governance outcomes in basin BSN-2095.
WWF-NBS-007,Wetland Treatment System — Spain,BSN-2724,Spain,,constructed_wetlands,river,water_security,pollutant_removal,proposed,active,WWF,2997,828014,low,NbS intervention focused on pollutant removal to support water security outcomes in basin BSN-2724.
WWF-NBS-008,Terracing & Contour Farming Transition — UK,BSN-2044,UK,GBR,terracing_contour_farming,river,food_security,soil_retention,proposed,active,Municipality,2028,2903099,high,NbS intervention focused on soil retention to support food security outcomes in basin BSN-2044.
WWF-NBS-009,Low-Till & Cover Crops Initiative — UK,BSN-2638,UK,GBR,regenerative_agriculture,river,ecosystem_degradation,soil_health,scaling,active,River Basin Authority,8637,2568532,medium,NbS intervention focused on soil health to support ecosystem degradation outcomes in basin BSN-2638.
WWF-NBS-010,Riparian Greenbelt Program — Chile,BSN-1121,Chile,CHL,riparian_buffer_restoration,forest,water_security,nutrient_sediment_reduction,pilot,active,River Basin Authority,6393,3571408,medium,NbS intervention focused on nutrient sediment reduction to support water security outcomes in basin BSN-1121.
WWF-NBS-011,Terracing & Contour Farming Transition — Chile,BSN-1466,Chile,CHL,terracing_contour_farming,forest,food_security,soil_retention,pilot,planned,Local NGO,2398,1173059,low,NbS intervention focused on soil retention to support food security outcomes in basin BSN-1466.
WWF-NBS-012,Artificial Wetlands Initiative — Chile,BSN-2238,Chile,CHL,constructed_wetlands,forest,water_security,pollutant_removal,proposed,active,Municipality,362,2618359,medium,NbS intervention focused on pollutant removal to support water security outcomes in basin BSN-2238.
WWF-NBS-013,Stakeholder Water Stewardship Platform — Italy,BSN-1330,Italy,ITA,watershed_governance_program,river,inclusive_governance,stakeholder_alignment,proposed,active,Municipality,2070,3782843,medium,NbS intervention focused on stakeholder alignment to support inclusive governance outcomes in basin BSN-1330.
WWF-NBS-014,Low-Till & Cover Crops Initiative — USA,BSN-2482,USA,USA,regenerative_agriculture,agroecosystem,ecosystem_degradation,soil_health,scaling,active,Private Developer,6352,3511550,high,NbS intervention focused on soil health to support ecosystem degradation outcomes in basin BSN-2482.
WWF-NBS-015,Slope Stabilization Terracing — Italy,BSN-1087,Italy,ITA,terracing_contour_farming,agroecosystem,food_security,soil_retention,pilot,planned,River Basin Authority,3595,3645948,medium,NbS intervention focused on soil retention to support food security outcomes in basin BSN-1087.
WWF-NBS-016,Riparian Greenbelt Program — Chile,BSN-2396,Chile,CHL,riparian_buffer_restoration,agroecosystem,water_security,nutrient_sediment_reduction,proposed,active,Municipality,119,2140839,medium,NbS intervention focused on nutrient sediment reduction to support water security outcomes in basin BSN-2396.
WWF-NBS-017,Riparian Buffer Restoration — Chile,BSN-2123,Chile,CHL,riparian_buffer_restoration,river,water_security,nutrient_sediment_reduction,proposed,active,Municipality,3265,2171404,high,NbS intervention focused on nutrient sediment reduction to support water security outcomes in basin BSN-2123.
WWF-NBS-018,Watershed Reforestation Program — Spain,BSN-1871,Spain,,watershed_reforestation,agroecosystem,water_security,infiltration_baseflow,scaling,planned,Private Developer,6978,2906628,low,NbS intervention focused on infiltration baseflow to support water security outcomes in basin BSN-1871.
WWF-NBS-019,Watershed Reforestation Program — USA,BSN-2687,USA,USA,watershed_reforestation,forest,water_security,infiltration_baseflow,pilot,active,Private Developer,378,1511270,medium,NbS intervention focused on infiltration baseflow to support water security outcomes in basin BSN-2687.
WWF-NBS-020,Wetland Treatment System — USA,BSN-1130,USA,USA,constructed_wetlands,agroecosystem,water_security,pollutant_removal,pilot,active,Private Developer,2458,2754115,high,NbS intervention focused on pollutant removal to support water security outcomes in basin BSN-1130.
